player_id distance_per_quarter_m
1626151 4990.63
203584 4736.37
203961 3928.54
203469 3779.27
201587 3662.95
202087 3513.9
1626154 3455.3
1897 3437.33
203109 3426.32
201962 3319.71
201582 3312.99
202340 3290.79
203798 3227.29
203087 3223.05
203101 3122.15
101138 3119.56
203096 3114.09
101123 3091.74
1626148 3086.55
203919 3084.09
1626196 3072.14
1891 3042.43
2744 3019.79
101135 3016.19
202337 2990.63
203482 2980.37
2617 2957.23
202391 2950.57
201977 2938.84
2440 2931.73
101107 2920.26
1626173 2917.28
203923 2913.53
201973 2903.27
201946 2868.55
201177 2865.99
202323 2848.32
203922 2829.99
201569 2829.52
203914 2822.36
203994 2815.97
1626273 2807.94
201148 2797.16
2548 2786.03
202738 2728.86
203123 2711.65
202689 2709.02
201156 2699.01
201967 2698.06
201950 2683.24
203552 2671.1
203925 2663.54
1626202 2659.88
2757 2646.37
202339 2645.36
201149 2638.41
1626144 2637.38
201568 2625.61
202341 2622.67
1626159 2610.03
201579 2605.35
201619 2597.45
201583 2594.94
1626163 2594.41
204028 2561.04
1626204 2558.3
203076 2557.81
203944 2547.01
203187 2536.31
203903 2533.37
203186 2531.75
204020 2528.35
203210 2524.32
2746 2523.13
1626242 2505.85
201589 2498.37
203463 2497.38
101150 2484.37
201933 2475.76
202355 2474.41
101139 2468.49
201150 2464.45
203999 2462.57
203115 2458.84
203481 2438.71
1626161 2427.35
202691 2425.05
201584 2420.39
2550 2416.56
201575 2411.84
203933 2408.59
203493 2408.25
2754 2405.86
2571 2402.58
2738 2401.36
2547 2384.82
203148 2376.29
977 2364.88
203949 2364.38
203092 2362.16
202709 2358.64
1626167 2344.55
201158 2344.26
200782 2340.95
1626147 2330.32
200751 2323.47
203473 2308.27
1626164 2307.79
201578 2297.0
2581 2283.94
201609 2282.74
202720 2282.06
203516 2281.54
201564 2275.69
204067 2271.12
2549 2269.9
1626168 2266.5
202688 2261.08
203546 2259.13
203084 2257.76
201978 2247.17
203900 2244.51
201954 2235.9
2199 2230.57
1713 2227.78
202397 2225.98
2733 2215.99
202702 2214.0
1626162 2204.75
203527 2203.09
201939 2196.54
202700 2196.2
202692 2195.21
101161 2194.22
2405 2179.13
201145 2176.8
203105 2169.43
2749 2167.51
1626156 2165.66
203112 2155.53
201956 2153.77
201581 2152.86
203991 2149.35
202734 2144.74
203948 2144.36
203918 2142.09
201574 2136.61
203462 2131.08
101106 2125.01
203893 2123.49
202379 2118.21
201960 2113.23
204060 2103.58
2736 2093.07
203110 2084.56
202331 2082.74
200752 2066.0
202330 2065.59
202685 2063.51
101126 2060.49
203118 2051.43
203921 2050.66
201961 2045.98
101179 2043.17
201949 2041.49
203524 2041.24
201942 2039.33
203080 2030.89
2570 2029.21
203504 2027.38
2034 2025.21
1626192 2016.62
2449 2011.3
200811 2003.44
203090 2000.98
201196 1989.59
203932 1988.05
203100 1986.82
1626209 1984.12
202066 1983.61
2730 1982.1
2216 1982.08
202730 1975.96
201160 1953.36
202711 1953.22
203487 1948.32
